input_id,input_name,type,stage_name,stage_id,description,year,market_share_chart_global_market_size_info,market_share_chart_caption,market_share_chart_source
N52,Ion milling tools,tool_resource,,,"Ion milling tools are advanced semiconductor manufacturing equipment used for precise material removal and surface preparation in chip production. These tools utilize focused beams of ionized gas, typically argon, to etch or polish semiconductor wafers. Ion milling enables the creation of high-quality cross-sections, smooth surfaces, and precise features crucial for advanced semiconductor devices and materials analysis.",2024,$0.4 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N53,Dry stripping tools,tool_resource,,,"Dry stripping tools use plasma to remove photoresist and other residues from wafers after processes like etching, ion implantation, or deposition. These tools are used to create residue-free surfaces while minimizing wafer damage and material loss. US-based but Chinese-owned firm Mattson Technology, US-firm Lam Research, Japanese firm Kokusai Electric, and South Korean firm PSK are the leading producers of dry stripping tools.",2024,$272.6 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N102,Dry clean tools,tool_resource,,,Dry clean tools use plasma to remove films or particles from wafers. These tools are used to create residue-free surfaces while minimizing wafer damage and material loss. US firm Lam Research and South Korean firm PSK are leading producers of dry clean tools.,2024,$295.4 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N57,Chemical mechanical planarization,process,Fabrication,S2,"After etching and cleaning, the wafer surface is flattened in a process called chemical mechanical planarization (CMP) to allow a new layer of features to be added. CMP tools are critical for chip fabrication, but not as complex as other tools, such as lithography and deposition tools.",,,,
N59,Wafer and photomask handlers,tool_resource,,,"Storing and transporting wafers and photomasks in a fab requires specific equipment. Although specialized, this equipment is less complex than other tools used in semiconductor manufacturing.",2024,$2.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N60,Process control tools,tool_resource,,,"In semiconductor fabrication, process control involves precisely monitoring wafers, photomasks, and the overall chip manufacturing process to ensure consistency and low manufacturing error rates. Accordingly, process control tools are among the most essential and valuable semiconductor manufacturing equipment.",2024,$13.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N61,Wafer inspection tools,tool_resource,,,"Even the tiniest imperfections can cause serious problems during chip production. Major types of wafer inspection tools include film and wafer measuring tools, critical dimensions measuring tools, defect inspection tools, general-purpose microscopes, and structural inspection tools.",,,,
N62,Photomask inspection and repair tools,tool_resource,,,"Photomask inspection and repair tools are similar to those used in wafer inspection, such as microscopes.",2024,$2.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N63,Inspection tools (adv. pkg.),tool_resource,,,"These tools inspect parts of wafers during the advanced packaging process, before these wafers are ""diced‚"" (i.e., cut) into multiple chips.",2024,$905.7 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N64,Process monitoring tools,tool_resource,,,"Process monitoring tools, such as curve tracers, are relatively low-value equipment used to measure performance of devices fabricated in wafers during chip manufacturing.",2024,$50.9 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N65,"Film, stack, and shape metrology tools",tool_resource,,,"Film and wafer measuring tools include tools to measure film thickness, makeup, and stack (such as Fourier-transform infrared spectrometers, ellipsometers, opto-acoustic tools, and x-ray tools) and tools to measure wafer surfaces, taper, warpage, and bow (such as wafer flatness mapping tools, surface profiling tools, optical instruments,"" and atomic force microscopes).",2024,$2.3 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N66,Critical dimensions metrology tools,tool_resource,,,Critical dimensions measuring tools (including optical tools and scanning electron microscopes) measure device dimensions and ensure alignment between a photomask and wafer during photolithography.,2024,$869.9 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N67,Defect inspection tools,tool_resource,,,"Defect inspection tools include brightfield inspection tools (using light to scan the wafer), darkfield inspection tools (using lasers), e-beam inspection tools (using electrons), and optical and scanning electron microscopes.",2024,$5.9 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N114,Overlay metrology tools,tool_resource,,,"Overlay metrology tools are used to measure and control the alignment accuracy between successive lithographic layers in chip production. These tools use sophisticated imaging and scatterometry techniques to detect and quantify overlay errors with nanometer-scale precision, ensuring the precise registration of device features and interconnects. US firm KLA and Dutch firm ASML are leading producers of overlay metrology tools. ",2024,$906.6 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N115,E-beam metrology tools,tool_resource,,,"E-beam metrology tools use focused electron beams (e-beams) to detect defects—achieving better resolution than optical methods. These tools enable precise measurements of line widths, spaces between features, and complex three-dimensional structures in advanced semiconductor devices. US firms Applied Materials and KLA and Dutch firm ASML are the leading producers of e-beam metrology tools. Dongfang Jingyuan Electron is an emerging Chinese firm producing e-beam metrology tools.",2024,$769.5 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N116,Defect review stations,tool_resource,,,"Defect review stations are specialized semiconductor manufacturing systems used to identify and analyze microscopic defects on wafers during chip production. These tools combine high-resolution imaging to pinpoint irregularities in circuit patterns. Critical for maintaining yield in advanced semiconductor nodes, defect review stations typically utilize scanning electron microscopy (SEM) or optical imaging to detect defects that could impact device performance. US firm Applied Materials is the leading supplier of defect review stations; however US firm KLA and Japanese firm Hitachi High-Tech also have notable market shares.",2024,$618.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N69,Assembly and packaging,process,"Assembly, testing, and packaging (ATP)",S3,"At the end of the fabrication process, the finished wafer contains dozens of chips in a grid pattern. During assembly and packaging, the wafer is separated into individual chips, or ""dies"". Each chip is mounted on a frame with wires that connect the chip to external devices, and enclosed in a protective casing. This produces the familiar look of a dark gray rectangle with metal pins at the edges.",,,,
N70,Assembly inspection tools,tool_resource,,,"Assembly inspection tools inspect dies, bonding, packages, or wafers for defects throughout the packaging process.",2024,$241.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N71,Dicing tools,tool_resource,,,"Dicing tools cut individual chips (dies) in the wafer into separated chips. This process also involves thinning the wafer. Dicing tools include blade saws, laser saws, dicing accessories and backside grinding equipment.",2024,$1.8 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N72,Bonding tools,tool_resource,,,"Bonding tools include die attach tools (to connect dies to lead frames or substrates), wire bonders (to make interconnects between lead frames and die pads), and advanced interconnect tools.",2024,$2.3 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N73,Die attaching tools,tool_resource,,,"Die attaching tools are bonding tools used to connect individual chips, or ""dies,"" to lead frames or substrates.",2024,$1.4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N131,Die attaching tools for IC,tool_resource,,,Die attaching tools for integrated circuits (IC) precisely place and bond each die onto its package or substrate. High placement accuracy and uniform thermal conduction across the die are critical for yield and long-term reliability.,2024,$1.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N132,Die attaching tools for non-IC,tool_resource,,,"Die attaching tools for non-integrated circuit (IC) devices affix devices, such as power semiconductors, other discrete semiconductors, LEDs, and CMOS image sensors to their substrates.",2024,$276.2 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N74,Wire bonding tools,tool_resource,,,Wire bonders are bonding tools used to make interconnects between semiconductor die pads and a lead frame.,2024,$702.5 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N133,Manual wire bonders,tool_resource,,,Manual wire bonders are operator-controlled machines used to form wires between semiconductor die pads and a lead frame.,2024,$5.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N134,Auto ball bonders for IC,tool_resource,,,Automatic ball bonders for integrated circuits (ICs) are high-speed thermosonic wire-bonding systems that create gold or copper ball interconnects between an IC's die pads and the package lead frame. ,2024,$337.6 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N135,Auto ball bonders for non-IC,tool_resource,,,"Automatic ball bonders for non-integrated circuit (IC) devices are thermosonic wire-bonding systems engineered to create gold or copper ball interconnects between die pads and the package lead frame for power semiconductors, other discrete semiconductors, LEDs, and CMOS image sensors.",2024,$140.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N136,Automatic wedge bonders,tool_resource,,,Automatic wedge bonders are wire-bonding systems that form alumnium or copper wedge bonds to connect a device's die pads to a lead frame or substrate. These data exclude automatic wedge bonders designed for batteries.,2024,$100 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N137,Wafer level stud bonders,tool_resource,,,"Wafer level stud bonders are automated thermosonic bonding systems that fabricate gold or copper ""stud"" bumps on a wafer's bond pads.",2024,$25.2 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N75,Other interconnect tools,tool_resource,,,Other interconnect tools include various bonding tools other than die attach tools and wire bonders.,2024,$222.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N76,Packaging tools,tool_resource,,,Packaging tools encase dies (individual chips) in packages.,2024,$675.9 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N77,Integrated assembly tools,tool_resource,,,Integrated assembly tools integrate different packaging systems.,2024,$22.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 28, 2025."
N78,Testing,process,"Assembly, testing, and packaging (ATP)",S3,"Chips undergo tests requiring a range of specialized equipment, including system-on-a-chip test tools, linear and discrete devices, burn-in tools, and handlers and probers.",,,,
N79,Memory test tools,tool_resource,,,"Memory test tools for flash and DRAM are specialized semiconductor equipment used to validate performance, reliability, and functionality of memory chips during manufacturing. These systems perform critical measurements such as access speed, endurance cycles, data retention, and error correction efficiency, ensuring compliance with industry standards for consumer electronics, data center, and automotive applications. Leading DRAM test tool providers include Japanese firm Advantest, South Korean firm YIKC, US firm Teradyne, among others. Leading flash test tool providers include US firm Teradyne and Japanese firm Advantest.",2024,$1.6 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
N80,SoC test tools,tool_resource,,,"SoC test tools can test logic, memory, mixed, and analog circuits. As a result, they can test a wide variety of chips, including advanced logic chips like GPUs and other processors.",2024,$4 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
N81,Burn-in test tools,tool_resource,,,Burn-in tools heat devices to check if defects cause the devices to fail.,2024,$215.2 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
N82,Linear and discrete testing tools,tool_resource,,,"Linear testing devices include, for example, operational amplifiers and voltage regulators.",2024,$224.8 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
N83,Handlers and probers,tool_resource,,,Handlers and probers link test tools and tested devices.,2024,$2.2 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
N84,Electronic design automation software,tool_resource,,,"Until the 1970s, when chips included few electric components, engineers drew designs manually. Today, chips include billions of interconnected transistors and other electrical components. To manage this complexity, chip designers use sophisticated electronic design automation (EDA) software to produce logic chip designs.

Only U.S. firms can produce EDA software with the full-spectrum capabilities engineers need to design leading-edge chips. Although the industry is top-heavy, startups frequently enter the EDA space. However, they struggle to compete with top EDA firms that typically acquire them to incorporate the startups' niche functionality to their full-spectrum capabilities.",2019,$6.8 billion (2019),,"[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/) (citing Mentor Graphics, Journal of Microelectronic Manufacturing, IPNest, BCG)"
N85,Core intellectual property,material_resource,,,"Core intellectual property (IP) consists of reusable, modular design blocks that chip design firms license for use in their designs. U.S. and U.K. vendors dominate the core IP market; some firms specialize exclusively on core IP, while others combine their offerings with EDA tools. The company ARM is the top core IP vendor, providing an instruction set architecture (ISA) and associated core IP underpinning most of the world's smartphone processors.",2019,$3.9 billion (2019),,"[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/) (citing Mentor Graphics, Journal of Microelectronic Manufacturing, IPNest, BCG)"
N86,CMP tools,tool_resource,,,"After other steps like etching and cleaning, chemical mechanical planarization (CMP) tools flatten the wafer surface. CMP tools are critical for chip fabrication, but not as complex as other tools, such as lithography and deposition tools.",2024,$2.8 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N88,Deposition materials,material_resource,,,"Deposition materials include materials such as sputtering targets, which are used in physical vapor deposition. In this process, argon ions are fired at the target, whose atoms are stripped off and deposited as a thin film on the wafer. Other deposition materials can be used to form interconnects, which are wires that connect devices within a chip, or for deposition of insulators that form layers within transistors and also between interconnects.

Many other materials used in deposition are simply purified versions of raw materials such as aluminum, copper, tantalum, and titanium.",2019,$1 billion (sputtering targets),,[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/)
N90,CMP materials,material_resource,,,"Chemical mechanical planarization (CMP) is a process that makes layers produced during fabrication flat so lithography can successfully be performed on them. The highest-value materials used in chemical mechanical planarization are chemical slurries, which often include rare earth minerals, and polishing pads. During fabrication, a wafer is placed on the pad along with the slurry, and a polishing head presses against the wafer and rotates to planarize the wafer. ",2019,$2.5 billion (slurries and pads),,[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/)
N91,Electronic gases,material_resource,,,"Gases are widely used in semiconductor fabrication, including common gases like nitrogen, hydrogen, helium, argon helium, and carbon dioxide as well as speciality electronic gases like nitrogen trifluoride, tungsten hexafluoride, hydrogen chloride, ammonia, disilane, germane, high-purity carbon dioxide, and nitrous oxide. In particular, the photolithography process uses various noble gases, such as neon, argon, and krypton, to create lasers to draw circuit patterns on wafers. (However, the most advanced photolithography equipment, EUV, uses a tin light source rather than a gas-based light source.)",2019,$6 billion,,[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/) (citing SEMI)
N92,Wet chemicals,material_resource,,,"Wet chemicals, such as sulfuric acid, isopropyl alcohol, ammonium hydroxide, phosphoric acid, nitric acid, hydrochloric acid, and acetic acid, are widely used in semiconductor manufacturing.",,,,
N93,Lead frames,material_resource,,,A lead frame transfers data between a chip and external devices.,,,,
N94,Bond wires,material_resource,,,"A bond wire, typically made of aluminum, copper, silver, or gold, attaches the chip to a lead frame.",,,,
N95,Ceramic packages,material_resource,,,"Protective ceramic packages, plastic substrates, or encapsulant resins may be bonded to a chip during the packaging process.",,,,
N96,Substrates,material_resource,,,"Protective ceramic packages, plastic substrates, or encapsulant resins may be bonded to a chip during the packaging process.",,,,
N97,Encapsulation resins,material_resource,,,"Protective ceramic packages, plastic substrates, or encapsulant resins may be bonded to a chip during the packaging process.",,,,
N98,Die attach materials,material_resource,,,"Die attach materials, including polymers and eutectic alloys, are used to attach chips to packages or substrates.",,,,
N99,Finished logic chip,ultimate_output,,,"The production of a single logic chip often requires more than 1,000 steps, passing through international borders 70 or more times, before reaching an end customer. The result of this complex, $500 billion supply chain is a resource fundamental to virtually every aspect of modern life.",,,,
N100,Packaging materials,material_resource,,,"Semiconductor packaging involves several steps to bond a fabricated chip to an encasing package, each requiring different materials. For example, a bond wire, typically made of aluminum, copper, silver, or gold, attaches the chip to a lead frame. The lead frame transfers data between the chip and external devices. A protective ceramic package, plastic substrate, or encapsulant resin can also be bonded to the chip.  Die attach materials including polymers and eutectic alloys are used to attach the chip to packages or substrates.",,,,
N109,Fabrication tools (for advanced packaging),tool_resource,,,"Advanced packaging tools are specialized semiconductor manufacturing systems used to integrate multiple chips into a single package, improving overall performance and power efficiency.",2024,$5.9 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N101,Dry etching tools (adv. pkg.),tool_resource,,,"Etching tools for advanced packaging are used to remove materials from wafers and substrates during an advanced packaging process. US firm Lam Research is the leading supplier of etching tools for advanced packaging, followed by Chinese firm Advanced Micro-Fabrication Equipment Inc. (AMEC), US firms Applied Materials and KLA, and Chinese firm NAURA.",2024,$831.6 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N110,CVD tools (adv. pkg.),tool_resource,,,"Chemical vapor deposition (CVD) tools for advanced packaging deposit thin films on wafers and substrates during an advanced packaging process. These tools are used to deposit most dielectrics (a type of insulator) and some metals. US firm Applied Materials is the leading supplier of CVD tools for advanced packaging, followed by Chinese firm NAURA, US firm Lam Research, and Japanese firm Kokusai.",2024,$383.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N111,PVD tools (adv. pkg.),tool_resource,,,"Physical vapor deposition (PVD) tools for advanced packaging deposit thin metal films on wafers and substrates during an advanced packaging process. The leading producer of PVD tools for advanced packaging is US firm Applied Materials, followed by Chinese firm NAURA and Japanese firm Ulvac, among others.",2024,$1.2 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N112,Spin-on deposition tools (adv. pkg.),tool_resource,,,Spin-on deposition tools for advanced packaging apply a liquid coating onto wafers and substrates during an advanced packaging process. Japanese firm SCREEN is the leading producer of spin-on tools for advanced packaging.,2024,$4.8 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N113,ECP tools (adv. pkg.),tool_resource,,,"Electrochemical plating (ECP) tools for advanced packaging use electrolysis to deposit materials during an advanced packaging process. A common application is to deposit copper (used for wiring in chips) on a wafer or substrate. US firms Lam Research and Applied Materials are the leading producers followed by Singaporean firm ASMPT, among others.",2024,$1.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N122,Resist processing tools (adv. pkg.),tool_resource,,,"Resist processing tools, also called ""tracks,"" coat photoresists on wafers (typically by spin-coating, which spins the wafer to spread deposited photoresist), develop them (dissolve portions hit by light), and bake them (harden undissolved photoresist to prepare for etching). Japan is the sole producer of the most advanced tracks for EUV and ArF immersion photolithography; Germany, South Korea, the United States, and China produce less advanced equipment.",2024,$227.5 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N117,Fabrication materials,process,Fabrication,S2,"Fabrication materials are a critical input in the fabrication of chips. Fabrication materials include high-purity silicon wafers, chemicals, and gases.",2022,$40 billion (2022),,[Semiconductor Industry Association (SIA)](https://perma.cc/GT6R-SWEM).
N118,Process control and handling,process,Fabrication,S2,"Process control: In semiconductor fabrication, process control involves precisely monitoring wafers, photomasks, and the overall chip manufacturing process to ensure consistency and low manufacturing error rates. Accordingly, process control tools are among the most essential and valuable semiconductor manufacturing equipment.

Handling: Storing and transporting wafers and photomasks in a fab requires specific equipment. Although specialized, this equipment is less complex than other tools used in semiconductor manufacturing.",,,,
N119,Assembly tools,tool_resource,,,"Assembly tools are the specialized equipment that converts processed wafers into packaged semiconductor devices. This category includes (1) dicing tools, which precisely separate individual dies from the wafer; (2) bonding tools, including die attach tools, wire bonders, and advanced interconnect tools; (3) assembly inspection tools, which inspect dies, bonding, packages, or wafers for defects throughout the packaging process; and (4) integrated assembly tools, which integrate multiple packaging systems.",,,,
N120,Test tools,tool_resource,,,"Test tools are also known as automatic test equipment (ATE). These tools confirms electrical functionality, performance, and reliability of semiconductors at both the wafer sort and final packaging stages. These tools include (1) burn-in test tools, which expose devices to high temperatures and stress to reduce failures; (2) linear and discrete test tools, which are optimized for analog ICs, power semiconductors, and other discrete transistors; (3) memory test tools, which are specialized semiconductor equipment used to validate performance, reliability, and functionality of memory chips; and (4) system-on-a-chip (SoC) test tools, which can test a wide variety of processors, including advanced logic chips like GPUs.",2024,$6 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 13, 2025."
N121,ATP materials,material_resource,,,"ATP materials are the specialized materials required for the assembly, test, and packaging processes. These materials inlcude signal-routing carriers, including lead frames and substrates, as well as interconnect materials such as bond wires, solder balls, and conductive adhesives. ",2022,$24 billion (2022),,[Semiconductor Industry Association (SIA)](https://perma.cc/GT6R-SWEM).
N123,Mask aligners,tool_resource,,,"Mask aligners line up a patterned glass plate called a photomask with a silicon wafer that has been coated in light-sensitive phtoresist. This category includes contact aligners (which press the mask directly against a wafer), proximity aligners (which leave a small gap between the mask and the wafer), and scanning projection aligners (which use high-quality optics to project the mask image onto the wafer without physical contact). German firm SUSS MicroTec is the leading supplier of mask aligners.",2024,$214.3 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N124,CMP tools (adv. pkg.),tool_resource,,,"After other steps like etching and cleaning, chemical mechanical planarization (CMP) tools flatten the wafer surface. CMP tools are critical for chip fabrication, but they are not as complex as other tools, such as lithography and deposition tools.",2024,$376.7 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N125,Single wafer spin & spray systems (adv. pkg.),tool_resource,,,"These tools are single wafer spin & spray systems designed and sold for advanced packaging, also referred to as wafer level packaging (WLP). In general, single wafer spin and spray systems are a subcategory of etch and clean tools that rotate each wafer at high speeds while spraying chemicals to remove residues.",2024,$403.3 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N126,Process-specific fabrication materials,material_resource,,,"Process-specific fabrication materials are highly engineered materials that enable each step in the semiconductor fabrication process, inlcuidng (1) CMP materials—slurries and pads that planarize wafer surfaces; (2) deposition materials—ultra-high-purity gases, liquids, and targets; (3) photomasks—patterned plates that project circuit images during lithography; and (4) photoresists—light-sensitive polymers that define where material will be added or removed from the wafer.",,,,
N127,Lithography tools (adv. pkg.),tool_resource,,,"These tools are lithography tools designed and sold for advanced packaging, also referred to as wafer level packaging (WLP). In general, lithography tools use ultraviolet light to draw intricate, nanoscale patterns into semiconductor wafers, creating the billions of tiny circuits contained in a single advanced logic chip.",2024,$275.6 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N128,Deposition tools (adv. pkg.),tool_resource,,,"These tools are deposition tools designed and sold for advanced packaging, also referred to as wafer level packaging (WLP). In general, deposition tools are used to deposit thin films of materials on a silicon wafer.",2024,$2.6 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N129,Etch and clean tools (adv. pkg.),tool_resource,,,"These tools are etch and clean tools designed and sold for advanced packaging, also referred to as wafer level packaging (WLP). In general, etch tools carve the pattern into the permanent layer below the photoresist, and clean tools remove residues, preparing the wafer for the next processing step.",2024,$1.2 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N130,Direct write systems (adv. pkg.),tool_resource,,,"These tools are direct write systems designed and sold for advanced packaging, also referred to as wafer level packaging (WLP). In general, direct write systems are lithography tools that pattern semiconductor features without using photomasks, enabling flexible and rapid prototyping in chip manufacturing.",2024,$48.1 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
