input_name,input_id,image,caption,credit,offset
Critical dimensions measurement tools,N66,Supra_VP_(6908585171).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/h-no-TvHTCGZeWCbT2aLiQ/prfHVRAbxeh6M0TuldGiZXp4BzNm1RRt6SnmtKvsMkeGQ0MYhgi4Z41psm1nRDfWxRT_QB4-n6ryAPCzPVtPn9JcUvSioXZxb2ddpYhttgOe7rAM-AcOnA83que4sb6yRQwffMOGjQZ42VaxlBScRkzRC-sZE2ai-udZElOg6BI/HN5jii1UBRYdu-4xevPrq9h3C1WPLRFg6-ouaEJfzPs),Scanning electron microscopes like this Zeiss system are used for dimensions measurement.,[Zeiss Microscopy](https://commons.wikimedia.org/wiki/File:Supra_VP_(6908585171).jpg) ([CC BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0)),24
Defect inspection tools,N67,Fotograf-Pelle-Sten-17.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/g8hW1CBGtlCWKxctEJ-P_w/iYK7FO8LcvpqRO25T9V9QXUDZB2hkincT56x6ycr0xghUAIzrNJtbrYXa5pBLWUmkaNV8c56FVo9cxzLLIxvTzSWQCMyBjRGSFjtiztd3SDW_e0iOJ1mWO12qFX5KzH7z_hYafm4ydHi4WYNlzLg4qslrKZxPkdtyMPyoMHubrA/tWJaiHaRwQSEpahQ21HK8ETlLPYZPO5qdCPgi2tYveg),Operating an electron microscope in a research setting. Electron microscopes can be used to inspect semiconductor devices for defects.,[Pelle Sten/Riksantikvarieämbetet](https://commons.wikimedia.org/wiki/File:SEM-microscope_Riksantikvarie%C3%A4mbetet.jpg) ([CC BY 4.0](https://creativecommons.org/licenses/by/4.0)),20
General-purpose microscopy tools,N68,2560px-Environmental_Transmission_Electron_Microscope.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/elYRSajXxX5MueqTHw5LMA/rqevXdOPq_pPuuDD68UcQyNJiKEpH4A9he6cLObp2JbvufYbA3387E0aDXVB2H-LgZOOkfTcMqj-xNMx_g5itGkzZgSr3himQ2N0nD7icig9HSNkL0iW9-AS-U-HIEwasYyk0ISKDC9F1fzfBFGzKeLp8ICd70RFLMuMY-5EHDO7L1YocvFFppZgzhNz9nxlRGJJdygMdO4GuV4nUwsv5Q/dHCvpxsNjFB9EtwFdvdHjVj_bLKUgdTQp_dq1iAr0P0),A transmission electron microscope in use at the Pacific Northwest National Laboratory.,Wikimedia Commons user [Reneegas1](https://commons.wikimedia.org/wiki/File:Environmental_Transmission_Electron_Microscope.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),27
Assembly and packaging,N69,24573702486_f85c6626b8_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/lg5vt6rFXboOOKZwPExzDg/0gUlaS68mPQO9VouH1SU3097AczyPHhEaAMEtBDp9_T41ym3-1naa__lBr1Y0KJHfpHgCX0u-TcDboD7UhhdOxU90HTwXKR_FFBNTGlFUBjGbbefIcskcMFPED0Bx9JTbVi4EJ670VSBcNRgIk5oC3eL1J71dGGbNog9Vxwd1Mk/bC0lPSo9mb2E1B8Ak3ck0BZDM7o-NFY7c2Y4tynwNKM),"An older-generation Intel processor sits in its package. The package protects the processor, removes waste heat, and provides an interface to other devices.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/24573702486/),32
Dicing tools,N71,A_semiconductor_wafer_on_a_dicing_(blue)_tape__Few_chips_(dies)_from_the_wafer_have_already_been_picked_up_(removed)_for_further_manufacturing.png (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/8RdSuGNdvNh-4kGX9CJ0UA/8fCVbJ-0NVMPNMXFqpZP-dKg6h9foxB5Rtnk7tMQyEQmLQ_rNWbeLruftqvmc8CWeZ68Y-gevIoE91qx2Fdr_KR1qXp1i5tJ7FT9ci7naKmOdKaiDl_HOkeb1m9Yc7txxLk9-cvIWbDOL7uCSVFRn0GF7H1NXe9rBOzkdBPpV7W93WIYF_XQ4I4hvHi9G4LSmoMcUsj28oRgYRAt2PJ8HgUVEp3qotP3cmUePcNGxe4Z-UB09MqJYt-cBCUUa6h2M0_DwqHbjVm6wu7ApiPCZ1qliO0xcSCv0G6U-4bEwoBAnnnws5HKsAMyPHYNBJ2t/nZ8xoJkk_TzJEgUogYGUf4soBf_fw3B-5IiBYhKQbmo),A semiconductor wafer partway through the dicing process.,Wikimedia Commons user [Khpsoi](https://commons.wikimedia.org/wiki/File:A_semiconductor_wafer_on_a_dicing_(blue)_tape._Few_chips_(dies)_from_the_wafer_have_already_been_picked_up_(removed)_for_further_manufacturing.png) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),33
Packaging tools,N76,50134633916_7ba66988ad_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/ok4t_sPazcySgg0iGAIxqw/ipRdn686X8xKnZEjl_lVOMj6ZnovLgoG798tsZRHYBq03pzHn8JL2RQ_hJIt3gQ0jW9kUUABKIn8iBN_FdfZWlbn3NT35--A196104-ENVA67gam8y_dhnIR8zT0yhVz4TEIax495ptcNal7dD0TO47PlVOsXa1PhtuWeIHj0jI/cpI3RxqipnuNPPVXRo3tZ3pSkA6c4sQZsnDRdnUW6rQ),Part of the package for an Intel Xeon processor.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50134633916/),30
Testing,N78,Wire_Bonders_(K&S_4123_and_4700)_-_Quantum_Systems_and_Nanomaterials_fabrication_facilities_-_University_of_Exeter_-_May_2012.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/yiMlMCO0b5k7XhO_65bB5w/HfAynAfzGqKLbKeRlq_0Tb0iIdo7aj1n-lMGulUHFI9jt4esSPmodhznqtieC12SCr3g3q6LBUCYXbWlH8_lWCmdAj2hdwX6tdWmXUAA_59oJ8v-4Gm3CeCaA_ujiXDMZ98LXKNRccs5jGs80qKi8cdq4KoUmIt720aNMwJDsf9mdh2A5WJe13Cf1_y95asXT4f7pjwuJ7j-wEkmgNEWaRSnbv68a3Y4Ykui5aMOdLje8bZcE_MEtXAJLZ2nU9FwiuOVYwExEw7n_bbS_QN5g6JkXd3R_7Yefjp5S8EuILk/8VsDGBmFmoOllbLim3EUzuyEASSuNSH98VOZqh-cRgI),A researcher applies test probes to a chip.,[University of Exeter](https://commons.wikimedia.org/wiki/File:Wire_Bonders_(K%26S_4123_and_4700)_-_Quantum_Systems_and_Nanomaterials_fabrication_facilities_-_University_of_Exeter_-_May_2012.jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0)),40
Handlers and probes,N83,lossy-page1-2560px-P300J_Wafer_Probe_Station_tif.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/ZTjrhjbI-RTmguJJ-0dO1g/r09ZKx1-EGaXEwvGOHGdzXqKTzCKLJKDv5QpCfyKAAMR-_MVU0xyVctHdbkL88wpL9E2v4D1ZWfoH14JCZ7KOIY7e40LBQNXmktsQybN2dR9VQSp6rJikFZe5ZtZx8PpjlRjlOCGM-59PIDb6F_DafjsQ9URp7en_97J7yghW5ARol1uH35shvixcOrfAX7r/Dz4Ju0EYUZXFdCvxIHDZgZZEBtZJ04kG0YahqHt_hCk),A wafer probe device.,Wikimedia Commons user [Rgarrigan](https://commons.wikimedia.org/wiki/File:P300J_Wafer_Probe_Station.tif) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),39
Electronic design automation software,N84,52192810434_01a93349f5_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/0jnO7LBoAHLoPTekjcdsNQ/p0AgO1qMLAjo7FY0_VbqeNnw4OBrJA-pHrfAPQ6k3yspBIgqaVSl1vGlOBp9IA6tSzbh3pRsEYu40swI2DOMgnEHM6rfTAFKDyqP6dFBIl-xw6gTgwnaOmLNu3hCZLb26xSO8AsqjFbfxkZjrBBOuP0ebcPFI0XB17Ug-Ky-PYo/8EpeLHV-XNgeYXxhnZGgr8bMQOomFzIeR2aJjKkhOoo),"Details in a graphics processing unit. Specialized software is used to manage the intricate, nanoscale design of modern semiconductors.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/52192810434/),20
Core intellectual property,N85,Screen Shot 2022-09-09 at 3_56_55 PM.png (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/KV5XwR5dZiRTVnjgRWRraw/RIjNE03UGLGKb6_Cvh6HU7aTd6vihKPEQ126Q15f_31KYxN8XebqG3ZPZF1lyS6991DVJT3XiiLi7yv128Dm4W0ZuQgQPwe61hTthnhKfmoyvd-8q2hDwGvDW7KRJsnCui1gahf2isUCuLF5NdDQr4ImUzZvtze_QmZdjsxdpdU/UpkgD7JcO3IB0tst6H7KjG2v3k_8Y_JTCMHUrkdQwDc),Detail from an ARM patent for a circuit device.,U.S. patent number US9912338B1,33
Chemical mechanical planarization materials,N90,Rareearthoxides.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/HA8X2z-lHyFVE8uCwLuBaQ/KhqR6vRSl_M64WQnuvItKfly0MjXczbL-nfyBM1jUhfVJDN3ZASMRf7P-sAOoD2R6EHbw7dWq4XiJBhW4-7GJ4bBm7hM3nP9FUFedu__Tz6jU5VjzrIRnkHGOy6HG1_lFvvjE7pvCgS4uwh502q_ag/3L5NwTNUZJpWh7NyVfQrN5FxWWr6Gd_jvoXmFinNSzQ),"Samples of rare earth oxides, a common ingredient in in chemical mechanical planarization slurries.",Peggy Greb/United States Department of Agriculture,27
Electronic gases,N91,Alabuga_Air_Liquide.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/cMJBu8waVQAcf-C2v-G4fw/LpJPYiaiVbw32p826pnTvuYtrjoBqRNOEAES3Ck0t9vgfgjp16itsphKfkj_vge4A2Q2CX-WqrueIBNxjQ_YwsXUYFNbEGSAEiEec5lwZnDNT_iQvkAAxhWm-gpT0GMMnv2EdH-rqVVvUDptG6mOt28ckneQfCWS8AmuJ91-0q8/VPvIRM_qspg-qWG8AY_81Af_C2nnTuOUF6jtImLFa8o),An Air Liquide plant in Russia. Air Liquide is a leading supplier of gases for semiconductor manufacturing.,[Wikimedia Commons](https://commons.wikimedia.org/wiki/File:Alabuga_Air_Liquide.jpg),33
Wet chemicals,N92,2560px-Вагон-цистерна_для_соляной_кислоты_f003.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/AF7EcJCJ6D9VIUgtaqt0-w/vXD3tYXb9dMixBRJaqstRgIpp5m0m0SkNoo0pbCaHcw_VYwBi393oFzNSyPApwzIRqiN4J5bDP6NLRc4VA-cFKEEnUz8wqbOp4APwOiVE6G066OFNIc4zM1qPvbQB-n3C2mJS2YJTmRn_aJVeY1vFw/AqdIEkP7JhOAGeMyzo_OBsrXK956f-P6FYv_eESWpTg),"Rail cars for transporting hydrochloric acid, an important chemical for semiconductor production.",Wikimedia Commons user [Ural-66](https://commons.wikimedia.org/wiki/File:%D0%92%D0%B0%D0%B3%D0%BE%D0%BD-%D1%86%D0%B8%D1%81%D1%82%D0%B5%D1%80%D0%BD%D0%B0_%D0%B4%D0%BB%D1%8F_%D1%81%D0%BE%D0%BB%D1%8F%D0%BD%D0%BE%D0%B9_%D0%BA%D0%B8%D1%81%D0%BB%D0%BE%D1%82%D1%8B_f003.jpg),30
Lead frames,N93,TQFP_Leadframe.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/m9fqXl4ckVEld6NGDUvJxA/17SZN41BPA88kXO74h1kirmFRYyGTQOq8tXYd_9SLHOgbz50lJPe4KqofWoEKKKUtenhZt99H5GEsrtH5WP_j0f1mE-QCD9n9Aqrcg1-D49mJha6IqIp8S3DYbFisG60rwpI3sU_SMDksk3kcl2uhg/wS8QAya5NPXrssvAzZoGeWQ3ydMqmmdhBVzaj8FXNnI),Close-up of a pair of empty lead frames. These particular frames have an older design common in consumer electronics.,Wikimedia Commons user [NobbiP](https://commons.wikimedia.org/wiki/File:TQFP_Leadframe.jpg) ([CC BY-SA 3.0](https://creativecommons.org/licenses/by-sa/3.0/)),10
Bond wires,N94,2560px-071R01.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/3L3baXmFO4ccDQ6IiK-2Og/IE2pOY4o3XFUxKbKg7lo4TnkSekWUFyjuqSNd6U4Pi_uQ7svJ-nt9YNmcI0UStfXiBElCIwcuMOHfK5-j-YapGJldMiYmSY8Lks4Yo4MNPazSgnL7VG2_4s0450uhSQAh5E7qoMvT_thRrzBe0bGsA/o2v5oaG5c5p1kd3nBLjXOZOpiZPwDnl9zkOB1EixCXU),An older Motorola chip with prominent wiring.,Wikimedia Commons user [Mister rf](https://commons.wikimedia.org/wiki/File:071R01.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),55
Substrates,N96,51772708929_2154d39c8a_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/RCB1jLjdLe4Fvtx3RwheIA/IKdHwwNunCz-hpq3dfy56i7Y5rvY9Cb-X8zuLpVHU3GZIKAgCsvB2FsTuOrRIWxiqRw9TGn7q0Ar2V_v8nTOK02a3ZW4wB-nxmpIPSVY9oIv2xEuIufo0eManvIsQrXstSQ-9RJUtNf7locDSlgWd5QDSz5kDSdbfP80jK8Eg8k/fE0ksnfx_awOzmhxLiukwDj6kO7gzek4cNk8o1trWBQ),A semiconductor package (with the chip itself removed).,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51772708929/),5
Encapsulation resins,N97,24070103445_727d52e65c_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/dSmiyMZE6HaF139t4egoOA/qUvbKRwIxVKtuqp_Ojrshtkl2T67Pkb1qHiFuLcJx43AQAztpvQ9sH3-A4KgpOzSw9baoZaUdLQununzi2MqMLueqa3Q25evnJUzqKZpqOaUKNsF2r9a-1Arxvv-nqd5HTwumBt-b5x5t0Mklar1jTviaQGMmOExhSG1KP-YGc0/ecLZ7sC0-FVoLwkUwKKxysb4wlOrmGvj9xZhWxavNR8),An older AMD processor.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/24070103445/),30
Finished logic chip,N99,50740715301_821bfdea42_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/J3zau8oy9V_GlvNryerB1w/AqBPxpwa2Jjq6h5LxAQmpG6zv9l4qpJseKagXHcaDpSFkpgQI5XxpUVsvS_esqtMv2FFhtGu2vEIvFli9ul8FZyCwu3KEgkMwkvk3e_dZi93QiZ5UEdnF3daRSZEhUopYPqG1_Y8Ticy3aPbLt7SJPH5TNvwcML4qCv0eeWoMms/ZDvELTNFLB4Y6uYyoR6LKyz9Xwy_EFekpgg7BBYwPms),"A packaged Nvidia graphics processor, manufactured by Samsung with an 8 nm process. The chip is slightly larger than a U.S. quarter and contains billions of nanoscale transistors.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50740715301/),29
Packaging materials,N100,23973086873_458cbe8ae4_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/JO5ws1JEfXZAaOWikdMKRg/_Ipd3kP_OYfg1ln79rjN0uL9_X_s7ligFXkoqrnUktWshkAK3-o4Ks-fNqw02SJwVy98lqZjMMaruIKSMjg7_Jb5DiMoNnKikD9gU7aZ5ccISlS9cLISof_-AAZNqQr_DIt0hj_N2pGuU5bD4xRNKEuhGC0GGMoI1HuNWi_Kkck/PKB8QgehSBHxsz6VmZua0A1OzmNblHZp7zlOCOIDoS4),Close-up of an older Intel Celeron chip in its package.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/23973086873/),0
[Stage] Fabrication,S1,47049386751_a80704f79a_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/KjWonVM6npq98f9YB4V06A/OGl_IGS8CqrZmRfmyJMBEFnc_IBVi2yU1p3RpbAGiLDfOmgVvE4T4aDsE4xp2fp9vYOev9tFdqaZA8FkYvlrTVjhP2nQCCHnhZUfpvJdj2sYo65NQwOmC_ZOt3yKBBSEkKrseTghkKeH-zMn23Jx3BcXDBILWx-4qkw8wcRRaf0/lR36749zETcesfJslIUs87YwuEJkSI1pPzcxD5ej32Q),False-color closeup of an AMD Ryzen processor manufactured with a 12 nm process. Fabricating the billions of nanoscale transistors in this chip required sophisticated equipment produced by only a few suppliers.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/47049386751/),35
[Stage] Design,S2,Clean_Room_at_Center_for_Nanophase_Materials_Sciences_(7209792180).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/8KJDAtDQnLRCTmGjtVUHSg/P4jF0Ax52VAQKRRPPtnl11tkffkCgGnnyx_l1e8QJtcartdbBu2H2TCRsxit1Cz0vSSvZE4V_Ler6GSsYKg-JSV9e-ANjjS8g1k-MGIuxxgZScpmgM-51ZrK-VJj0ZFB33SvYdG7nj9dLWhKnw1MNqu-_Phi3DtjhboUXQxgPJV_y2OP7XIxhGVNs7dmSODoxkAHXZ-cjs1zsS0PIBLrbA/UhUTh0dbvTQ8wRrkJKfQdaSdPMpm1B4gvEKBkeFXJas),At work in a clean room. Microscopic contaminants can compromise the intricate structure of modern semiconductors.,Lynn Freeny/United States Department of Energy,29
[Stage] ATP,S3,51373058295_894a760403_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/P0dgec68fSgEDGFRQpeTyA/EOkp24UDyqkH9cKPXZU9pNc3SnyL9uZh7MC2MuHa8kBriRJZFRqXoJ3WvylbzqL6myjMmpBBWX6F0s9tJVPtejkQ3jTNHtVy-JMOZ-LMyzbn9EziVFjj-gwTdhX66kOv7h7j-sTrOK9jYFeHtInAa7ZV2WACcs9u2cKkHkYvmTk/bcLOA9F9d5vcCqCxTRU3E7eMy7oR8PEjUVbkIZQL5Sw),"Package (without chip) of an AMD Ryzen processor. Semiconductor packages protect the processor, whisk away heat, and connect the processor to other devices.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51373058295),26
Logic chip design,N0,53027546802_a056404bc7_6k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/72fX9VRgjB3zeuqnMu2ZPQ/P70z1g3zD82Rxs-VppPqF9fjTB4w3ZvS7Nq7x7jzSROtlO-tKKb9_i3Zc_qDTWYkw8auIijqd3U0Dk8ZVqfwLWgYiK2DquBI0KZgJf8Imt1SmecBOUdjHjbPi5j_2U092jBFK38giISbPKG1vgnPH68Yo-PW3x6bstGwWbrvYyXd22kTvYXoZ8C7dc8O2Dlj/my3QaNyd4Qw_zgyZFL4rexWYA8cPPK4QK01LkWf3-kk),Close-up of features on an AMD 4nm chip.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/54046852388/),0
Memory chip design,N5,53420777031_842e1d3eca_6k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/GVAo_MesrWAelFBhShqehQ/4_rt3P-tMczVvzGUyfOKqVur2SQangBRFFgIuTOVhXyfwZ9x-p3ev2bUOVM1jVP3HTUUyLnkk_x8d6cDnBfhvCW_DCEs4uxgsnKOLEtBz9wAZ2XvXike-iNz7GarrXs-pnSzFGGwiMQNkwY81lQzRjT1xmyPPYndO4NSCBCx1flDWl7B_RrLuisP7rOxM7o1/qwIJg1v-VESIDWO4USxGVbE7Q-5RsitySjpyki8bwgU),Close-up of features on an AMD 7nm chip manufactured in Taiwan.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/53420777031/),0
DAO design,N13,54046852388_616d962c8c_6k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/A8LId527WtjWBl8HBa3kSw/7nnALqpgggekn17VGRLpxR7qfic2d0GuP3chyy1Um8qaqF3kq4VanNIzQlik8tYy5b1DjzPX29li_0-IG-w92EMx_nUPHe87ZFzMT_nwvQlwj93YSwLJoXrLG8SRXKfstu8rxN94EnVxJmHpc5wDQ-TF6gm5_qvGVnPKNjJHfG3Y16fUUzP2q-7wEnEGkzJa/fKxI1TC3crp8lbLM4_5iaO-SuInSGeFvDHaT45tAPPU),Close-up of features on an AMD 5nm chip.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/53027546802/),0
Etching tools (for adv. pkg.),N101,Dry_etching_test_strucutres.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/3PPMaa5Dwt9SNXKXqMgRHw/05fh7KBXJMegimAsVH_6TX4J3TT_7uw3CNnkBbA82Zi5nmWWDBfS9SE8s6XtqeIjQ2iWRn4OYhw9ovbqVt6u4W6xQV-gDf9TS3wU0W38aDCpzJtmXF3i0vq-pbEj-0J0gK41Ze_ENzYHPrRIwHFbzuV3PfYY21Ko_spUOW_-z8w/6RItpU7BdMvpYbwttRpx-OxAztrepeHGI9J8lRGCASc),"Test structures etched with a deep reactive ion etching tool, magnified 32x using an electron microscope.",Wikimedia Commons user [Mgerit](https://commons.wikimedia.org/wiki/File:Dry_etching_test_strucutres.jpg) ([CC BY 4.0](https://creativecommons.org/licenses/by/4.0)),40
Advanced packaging tools,N109,50134633916_7ba66988ad_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/ok4t_sPazcySgg0iGAIxqw/ipRdn686X8xKnZEjl_lVOMj6ZnovLgoG798tsZRHYBq03pzHn8JL2RQ_hJIt3gQ0jW9kUUABKIn8iBN_FdfZWlbn3NT35--A196104-ENVA67gam8y_dhnIR8zT0yhVz4TEIax495ptcNal7dD0TO47PlVOsXa1PhtuWeIHj0jI/cpI3RxqipnuNPPVXRo3tZ3pSkA6c4sQZsnDRdnUW6rQ),Part of the package for an Intel Xeon processor.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50134633916/),30
CVD tools (for adv. pkg.),N110,chamber_h.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/zV6X89-wXJDY6_igBTVflg/UY-iOvTmdxSZBgA1ETh5O_n8TJzLaTE3uSXMZHUSaWO98qxcFXb7STs6Y_14aVfq8suJNmgXWrfOfX0JXTkIMqhCFH1xxk-7npsHwIsKle5o3HI9Q13Fxkh5vb_0kuXLwGNtzrDDSs84BLjO5Kjw1Q/6Can5RhcT0CO-j4XxxJVY_8W6cVZNBNqYuv1xijOCdg),chamber_h.jpg (https://airtable.com/appHpTKGKLOH03Kfa/tblbEVBikkDv1eAbU/recLioqfuXJVMDm5C/fldloNnhS1qgGeExp/attYnNOqOjVcfULGk),Wayne L. Gladfelter/National Science Foundation,26
PVD tools (for adv. pkg.),N111,Au_sputtering_light.JPG (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/nhX2vLtwjL0Udp-S0sc9RQ/l7EZwNNZslSMVpvRAmgkGVqDapBermLcWNtPzZItflS-HujMvjiv_lraauf0-1xMnm8Fo1dKfmLloNIgcjYsHQ_1J2l_CaBH7sRDFG0uQj3-8jAbjujaPBXpEET6k7-RVeYKpQv1fU8MZEyZcMbCgG0RNNmpZ8Upg7fjD03KW_s/D6v4fv7u0sU11tbl28jqmQ7Ln0wef8yh96uUsLx4EvU),Au_sputtering_light.JPG (https://airtable.com/appHpTKGKLOH03Kfa/tblbEVBikkDv1eAbU/recCoqxxEytZFhDYg/fldloNnhS1qgGeExp/attxi3R14gyfr8YAP),Wikimedia Commons user [GcG](https://commons.wikimedia.org/wiki/File:Au_sputtering_light.JPG),21
Spin-on deposition tools (for adv. pkg.),N112,Photoresist_spin_coating.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/0dHI_q-ThwhWsyDDJ_6Qxw/EF5ro_vpdqOWFXknXVVauIJmCa8r5-mwSnNSA8YhAyWuOoO9CyGPFlt34TXy3lZcdwQk56rl6oEw_VZ0N8uhejYsCbSEDI3nH8GvQu65Fp_pBki3VPK0tRmyLp59JqU1kQ0WJrf7pG5O5gwzDU9soxTTvhEIPlB2wSX2x_484Y8/BSC9mNJja0yasAtXH_RliS3fRjb_CRr0SjuKxN1i6QQ),A chemical is spin-coated onto a silicon wafer.,Wikimedia Commons user [Sei](https://commons.wikimedia.org/wiki/File:Photoresist_spin_coating.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),17
E-beam metrology tools,N115,U_S__Department_of_Energy_-_Science_-_390_014_008_(9566483876).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/XOM29q-B4NMcYtNwGULqiA/yNamnxbhiuL2GjbuIGcXQqi634jo1YdSgVLAgI1kcX1u5_vKSHwmmU3Y3MLb_ayACExtf4bHyKh578tSdHq--PSGo8jA9V68dS4zbG-oSP_GiC8qq7cPE7d17sWfaRCLVopBiHtr_DcVb1gU6mFNfHAoANduCJmWNetQCeYVzM0dWRS4d1PfzZ-k4_-zEM3NObFO0jIylac7mwPMNpBxwA/NSYj8SmG-cDpZMRxpynWEv-n1-vvFHIi-xLZIhBZs4w),An electron-beam (e-beam) device is operated in a research setting.,United States Department of Energy,13
